Tanggal Pemesanan,No. Transaksi,ID Produk,ID Kustomer,Nama Kustomer,Segmentasi,Kota,Provinsi,Negara,Kategori Produk,Sub Kategori Produk,Nama Produk, Harga Satuan,Kuantitas, Total Penjualan,Metode Pembayaran,Metode Pengiriman, Profit,,Question
6/10/2023,ELX600010,EP36949,CE3472,"Diah Jailani, M.Pd",Corporate,Depok,Jawa Barat,Indonesia,Tablet,Android Tablet,Samsung Galaxy Tab S8, Rp 3.994.912 ,2, Rp 7.989.824 ,Cash,SiCepat, Rp 761.599 ,,
11/20/2025,ELX600011,EP32160,CE7128,Yuni Utama,Consumer,Yogyakarta,Yogyakarta,Indonesia,Kamera,Mirrorless,Sony Alpha a6400, Rp 7.083.001 ,3, Rp 21.249.003 ,QRIS,SiCepat, Rp 3.265.851 ,,
4/1/2023,ELX600012,EP36481,CE6040,Mala Pratiwi,Home Office,Tebing Tinggi,Sumatera Utara,Indonesia,Laptop,Gaming,MSI GF63, Rp 1.160.441 ,2, Rp 2.320.882 ,Debit,Grab, Rp 266.881 ,,
6/10/2023,ELX600013,EP49022,CE1189,"Jelita Widiastuti, S.Pd",Consumer,Medan,Sumatera Utara,Indonesia,Smartphone,iOS Phone,iPhone SE 2022, Rp 11.707.928 ,2, Rp 23.415.856 ,Debit,AnterAja, Rp 3.035.887 ,,
11/21/2023,ELX600014,EP37917,CE7179,R. Harsana Saragih,Home Office,Negara,Bali,Indonesia,Speaker,Bluetooth Speaker,JBL Flip 6, Rp 24.294.708 ,3, Rp 72.884.124 ,QRIS,Grab, Rp 9.142.175 ,,
2/21/2023,ELX600015,EP11772,CE8375,"drg. Calista Hartati, S.Gz",Corporate,Bekasi,Jawa Barat,Indonesia,Smart Home,Robot Vacuum,Ecovacs Deebot, Rp 16.686.372 ,1, Rp 16.686.372 ,QRIS,Gojek, Rp 3.073.225 ,,
4/24/2025,ELX600016,EP99365,CE3726,Jagapati Zulaika,Home Office,Jakarta Selatan,DKI Jakarta,Indonesia,Peralatan Rumah,Vacuum Cleaner,Dyson V11 Vacuum, Rp 22.357.710 ,2, Rp 44.715.420 ,Debit,Gojek, Rp 6.194.712 ,,
4/9/2024,ELX600017,EP90299,CE3864,Yunita Situmorang,Home Office,Makassar,Sulawesi Selatan,Indonesia,Motor Listrik,EV Scooter,Motor Listrik Selis E-Max, Rp 1.278.639 ,2, Rp 2.557.278 ,Debit,JNE, Rp 314.203 ,,
2/8/2025,ELX600018,EP47458,CE3388,Himawan Mangunsong,Consumer,Depok,Jawa Barat,Indonesia,Smartphone,iOS Phone,iPhone 13 Pro, Rp 9.428.570 ,2, Rp 18.857.140 ,Debit,Grab, Rp 1.402.780 ,,
4/1/2023,ELX600019,EP49375,CE3567,"drg. Genta Prakasa, M.Farm",Corporate,Tenggarong,Kalimantan Timur,Indonesia,Penyimpanan,Hard Drive,WD My Passport 1TB, Rp 8.473.367 ,2, Rp 16.946.734 ,Cash,POS Indonesia, Rp 906.618 ,,
6/10/2023,ELX600020,EP76873,CE9452,Dr. Atmaja Permadi,Home Office,Jakarta Pusat,DKI Jakarta,Indonesia,Aksesori,Mouse,Logitech MX Master 3, Rp 8.596.041 ,1, Rp 8.596.041 ,QRIS,J&T, Rp 683.416 ,,
4/24/2025,ELX600021,EP20954,CE2169,Malika Prayoga,Home Office,Jakarta Selatan,DKI Jakarta,Indonesia,Peralatan Dapur,Microwave,Panasonic Microwave, Rp 22.211.752 ,2, Rp 44.423.504 ,QRIS,Gojek, Rp 3.736.466 ,,
6/18/2025,ELX600022,EP55630,CE4353,Oskar Prastuti,Corporate,Semarang,Jawa Tengah,Indonesia,Penyimpanan,Hard Drive,WD My Passport 1TB, Rp 17.980.840 ,3, Rp 53.942.520 ,Cash,AnterAja, Rp 9.156.594 ,,
5/2/2023,ELX600023,EP31909,CE3786,Rachel Winarsih,Home Office,Yogyakarta,Yogyakarta,Indonesia,Peralatan Rumah,Freezer,Polytron Chest Freezer, Rp 22.237.276 ,3, Rp 66.711.828 ,Debit,J&T, Rp 13.218.922 ,,
11/20/2025,ELX600024,EP59627,CE6780,R.M. Lurhur Haryanti,Corporate,Kediri,Jawa Timur,Indonesia,Smartphone,Android Phone,Vivo V27, Rp 22.252.746 ,3, Rp 66.758.238 ,Cash,Ninja Xpress, Rp 11.876.663 ,,
3/20/2025,ELX600025,EP61994,CE7190,Lili Wacana,Consumer,Depok,Jawa Barat,Indonesia,Laptop,Ultrabook,ASUS ZenBook, Rp 1.354.606 ,3, Rp 4.063.818 ,Cash,AnterAja, Rp 216.962 ,,
5/2/2023,ELX600026,EP67421,CE4818,Purwanto Mangunsong,Corporate,Jakarta Selatan,DKI Jakarta,Indonesia,Smartphone,Android Phone,Samsung Galaxy S21, Rp 8.984.110 ,2, Rp 17.968.220 ,Cash,SiCepat, Rp 1.811.775 ,,
12/24/2023,ELX600027,EP59290,CE7964,"Tgk. Heru Andriani, S.E.",Home Office,Blitar,Jawa Timur,Indonesia,Smartphone,Android Phone,Realme Narzo 50, Rp 1.630.481 ,3, Rp 4.891.443 ,QRIS,Grab, Rp 601.295 ,,
4/1/2023,ELX600028,EP18586,CE5035,Cinta Sihombing,Corporate,Makassar,Sulawesi Selatan,Indonesia,Smart Home,Air Purifier,Xiaomi Mi Air Purifier, Rp 1.874.334 ,2, Rp 3.748.668 ,Debit,J&T, Rp 718.392 ,,
5/13/2024,ELX600029,EP11744,CE6869,Shakila Prasetya,Home Office,Jakarta Barat,DKI Jakarta,Indonesia,Peralatan Dapur,Blender,Philips Blender HR2221, Rp 7.285.464 ,2, Rp 14.570.928 ,QRIS,AnterAja, Rp 2.551.971 ,,
3/20/2025,ELX600030,EP97219,CE1370,Rusman Kurniawan,Corporate,Jakarta Pusat,DKI Jakarta,Indonesia,Printer,Ink Tank,Canon PIXMA G2020, Rp 19.454.000 ,1, Rp 19.454.000 ,Cash,AnterAja, Rp 3.350.348 ,,
2/16/2024,ELX600031,EP85701,CE2841,Calista Habibi,Corporate,Jakarta Pusat,DKI Jakarta,Indonesia,Printer,Ink Tank,Canon PIXMA G2020, Rp 24.009.797 ,2, Rp 48.019.594 ,Cash,Grab, Rp 8.495.236 ,,
5/2/2023,ELX600032,EP82227,CE7880,Jasmani Maryadi,Home Office,Jakarta Pusat,DKI Jakarta,Indonesia,Kamera,Mirrorless,Sony Alpha a6400, Rp 22.219.086 ,3, Rp 66.657.258 ,QRIS,JNE, Rp 9.420.313 ,,
10/13/2023,ELX600033,EP85240,CE3269,Caturangga Haryanto,Corporate,Sragen,Jawa Tengah,Indonesia,Kamera,Mirrorless,Sony Alpha a6400, Rp 21.862.709 ,3, Rp 65.588.127 ,Cash,J&T, Rp 7.841.254 ,,
5/13/2024,ELX600034,EP30385,CE5157,Nurul Hutapea,Corporate,Surabaya,Jawa Timur,Indonesia,Peralatan Rumah,Kulkas,Samsung Refrigerator 2-Door, Rp 23.789.467 ,1, Rp 23.789.467 ,Debit,Gojek, Rp 4.577.347 ,,
11/11/2024,ELX600035,EP23205,CE6905,Ismail Nasyidah,Corporate,Semarang,Jawa Tengah,Indonesia,Tablet,Android Tablet,Samsung Galaxy Tab S8, Rp 8.000.250 ,2, Rp 16.000.500 ,Cash,Grab, Rp 1.248.084 ,,
11/20/2025,ELX600036,EP15948,CE6891,Dt. Cahyanto Budiyanto,Corporate,Semarang,Jawa Tengah,Indonesia,Laptop,Apple,MacBook Pro M2, Rp 14.222.779 ,3, Rp 42.668.337 ,QRIS,Grab, Rp 8.301.191 ,,
4/1/2023,ELX600037,EP48651,CE9136,Ajiono Mahendra,Consumer,Makassar,Sulawesi Selatan,Indonesia,Peralatan Dapur,Microwave,Panasonic Microwave, Rp 2.078.514 ,2, Rp 4.157.028 ,QRIS,JNE, Rp 216.135 ,,
2/21/2023,ELX600038,EP42151,CE9867,Ir. Gara Fujiati,Home Office,Jakarta Pusat,DKI Jakarta,Indonesia,Speaker,Bluetooth Speaker,JBL Flip 6, Rp 10.922.404 ,3, Rp 32.767.212 ,Cash,Ninja Xpress, Rp 6.331.186 ,,
6/21/2024,ELX600039,EP36275,CE9419,"Anggabaya Salahudin, M.Ak",Corporate,Yogyakarta,Yogyakarta,Indonesia,Laptop,Apple,MacBook Pro M2, Rp 13.067.871 ,3, Rp 39.203.613 ,Debit,JNE, Rp 7.309.651 ,,
6/10/2023,ELX600040,EP34718,CE2788,Wirda Uwais,Home Office,Jakarta Pusat,DKI Jakarta,Indonesia,Laptop,Gaming,Lenovo Legion 5, Rp 23.424.411 ,1, Rp 23.424.411 ,QRIS,SiCepat, Rp 1.890.944 ,,
9/11/2025,ELX600041,EP94216,CE1083,Kala Manullang,Home Office,Jakarta Pusat,DKI Jakarta,Indonesia,Laptop,Notebook,Acer Aspire 5, Rp 9.830.024 ,2, Rp 19.660.048 ,Cash,POS Indonesia, Rp 3.269.877 ,,
12/24/2023,ELX600042,EP41558,CE5084,Banawi Sudiati,Home Office,Dompu,NTB,Indonesia,Smartphone,iOS Phone,iPhone 13 Pro, Rp 1.463.156 ,3, Rp 4.389.468 ,QRIS,J&T, Rp 355.496 ,,
1/21/2023,ELX600043,EP17687,CE6275,"Tgk. Anastasia Wibisono, S.E.",Consumer,Bekasi,Jawa Barat,Indonesia,Aksesori,Keyboard Gaming,Razer BlackWidow, Rp 1.466.252 ,1, Rp 1.466.252 ,Cash,SiCepat, Rp 100.172 ,,
2/21/2023,ELX600044,EP81757,CE5009,Laras Saputra,Consumer,Bima,NTB,Indonesia,Motor Listrik,EV Scooter,Motor Listrik Alva One, Rp 5.597.755 ,2, Rp 11.195.510 ,Debit,SiCepat, Rp 653.430 ,,
8/12/2023,ELX600045,EP52599,CE5860,"Puti Dinda Halimah, S.T.",Corporate,Bandung,Jawa Barat,Indonesia,Motor Listrik,EV Scooter,Motor Listrik United T1800, Rp 4.208.557 ,1, Rp 4.208.557 ,Debit,JNE, Rp 841.006 ,,
5/24/2025,ELX600046,EP79917,CE1643,"KH. Sakti Pudjiastuti, S.E.",Corporate,Medan,Sumatera Utara,Indonesia,Printer,Laser Printer,HP LaserJet Pro, Rp 6.202.011 ,3, Rp 18.606.033 ,Cash,AnterAja, Rp 3.409.897 ,,
7/6/2024,ELX600047,EP78557,CE7979,Bala Rahmawati,Home Office,Karangasem,Bali,Indonesia,Motor Listrik,EV Scooter,Motor Listrik United T1800, Rp 19.658.989 ,2, Rp 39.317.978 ,Debit,SiCepat, Rp 4.773.683 ,,
2/21/2023,ELX600048,EP59345,CE4163,Drs. Naradi Napitupulu,Corporate,Jakarta Pusat,DKI Jakarta,Indonesia,Printer,Laser Printer,HP LaserJet Pro, Rp 10.296.855 ,3, Rp 30.890.565 ,Debit,Grab, Rp 3.374.408 ,,
2/8/2025,ELX600049,EP10932,CE8196,"Prasetya Lestari, M.Kom.",Consumer,Karangasem,Bali,Indonesia,Tablet,Apple Tablet,iPad Air 5, Rp 3.921.664 ,2, Rp 7.843.328 ,Debit,J&T, Rp 625.862 ,,
1/19/2025,ELX600050,EP49683,CE2311,Dr. Mursita Yulianti,Corporate,Tulungagung,Jawa Timur,Indonesia,Networking,Router,Tenda Nova MW3, Rp 5.286.516 ,1, Rp 5.286.516 ,QRIS,Gojek, Rp 743.883 ,,
8/22/2024,ELX600051,EP65479,CE5254,"Argono Dabukke, S.Pt",Corporate,Depok,Jawa Barat,Indonesia,Aksesori,Mouse,Logitech MX Master 3, Rp 14.447.856 ,2, Rp 28.895.712 ,Cash,Gojek, Rp 5.504.827 ,,
1/21/2023,ELX600052,EP42252,CE5345,Kani Prasasta,Consumer,Balikpapan,Kalimantan Timur,Indonesia,Peralatan Rumah,Mesin Cuci,Sharp Washing Machine, Rp 23.687.319 ,2, Rp 47.374.638 ,QRIS,JNE, Rp 3.639.850 ,,
10/20/2024,ELX600053,EP55346,CE7362,Gatra Nashiruddin,Home Office,Medan,Sumatera Utara,Indonesia,Smartphone,Android Phone,Realme Narzo 50, Rp 15.805.817 ,3, Rp 47.417.451 ,Debit,Ninja Xpress, Rp 7.332.570 ,,
11/11/2024,ELX600054,EP14105,CE8111,"Jarwadi Yulianti, M.TI.",Consumer,Surabaya,Jawa Timur,Indonesia,Motor Listrik,EV Scooter,Motor Listrik Smoot Tempur, Rp 9.046.890 ,2, Rp 18.093.780 ,QRIS,J&T, Rp 2.401.122 ,,
3/9/2023,ELX600055,EP62971,CE5341,Cut Puti Nasyiah,Corporate,Jakarta Barat,DKI Jakarta,Indonesia,Peralatan Rumah,Kulkas,Samsung Refrigerator 2-Door, Rp 9.292.317 ,3, Rp 27.876.951 ,Debit,SiCepat, Rp 4.936.102 ,,
11/20/2025,ELX600056,EP80235,CE8172,"Drs. Umar Haryanto, S.H.",Home Office,Semarang,Jawa Tengah,Indonesia,Motor Listrik,EV Scooter,Motor Listrik Viar Q1, Rp 4.405.079 ,2, Rp 8.810.158 ,Debit,POS Indonesia, Rp 1.369.488 ,,
10/13/2023,ELX600057,EP44648,CE2366,Rizki Purwanti,Home Office,Bogor,Jawa Barat,Indonesia,Kamera,Mirrorless,Canon EOS M50, Rp 23.875.320 ,1, Rp 23.875.320 ,Debit,AnterAja, Rp 3.119.078 ,,
11/21/2023,ELX600058,EP98998,CE8916,"Tari Wijayanti, M.Farm",Consumer,Yogyakarta,Yogyakarta,Indonesia,Laptop,Gaming,Lenovo Legion 5, Rp 18.776.128 ,2, Rp 37.552.256 ,Cash,J&T, Rp 7.087.172 ,,
11/21/2023,ELX600059,EP69468,CE3176,Dalima Nugroho,Corporate,Malang,Jawa Timur,Indonesia,Laptop,Notebook,Acer Aspire 5, Rp 24.242.389 ,1, Rp 24.242.389 ,Debit,J&T, Rp 4.626.369 ,,
11/11/2024,ELX600060,EP27174,CE9555,Gatot Widodo,Consumer,Sragen,Jawa Tengah,Indonesia,Smartphone,iOS Phone,iPhone 13 Pro, Rp 5.877.645 ,2, Rp 11.755.290 ,Debit,Gojek, Rp 896.503 ,,
7/27/2023,ELX600061,EP12683,CE9364,Lalita Nasyidah,Corporate,Bandung,Jawa Barat,Indonesia,Laptop,Gaming,Lenovo Legion 5, Rp 12.620.955 ,1, Rp 12.620.955 ,Debit,J&T, Rp 974.734 ,,
8/12/2023,ELX600062,EP79675,CE6616,Wadi Setiawan,Corporate,Bandung,Jawa Barat,Indonesia,Smart Home,Air Purifier,Xiaomi Mi Air Purifier, Rp 2.737.517 ,2, Rp 5.475.034 ,Cash,Grab, Rp 954.617 ,,
8/26/2025,ELX600063,EP70521,CE8943,Shakila Sinaga,Consumer,Purwokerto,Jawa Tengah,Indonesia,Peralatan Dapur,Air Fryer,Xiaomi Air Fryer, Rp 9.763.239 ,1, Rp 9.763.239 ,QRIS,AnterAja, Rp 1.373.921 ,,
4/1/2023,ELX600064,EP35456,CE5358,"Padmi Winarno, S.Kom",Home Office,Binjai,Sumatera Utara,Indonesia,Networking,Router,TP-Link Deco M5, Rp 10.689.406 ,2, Rp 21.378.812 ,Debit,JNE, Rp 3.412.878 ,,
7/20/2025,ELX600065,EP19697,CE7234,Harsanto Kusmawati,Consumer,Sumbawa Barat,NTB,Indonesia,Speaker,Bluetooth Speaker,JBL Flip 6, Rp 734.787 ,1, Rp 734.787 ,Debit,Gojek, Rp 59.594 ,,
7/27/2023,ELX600066,EP29924,CE3543,Luwes Pradipta,Consumer,Sleman,Yogyakarta,Indonesia,Smartphone,iOS Phone,iPhone 13 Pro, Rp 12.526.978 ,1, Rp 12.526.978 ,Debit,Ninja Xpress, Rp 766.711 ,,
1/21/2023,ELX600067,EP99088,CE7149,Raina Dongoran,Home Office,Kediri,Jawa Timur,Indonesia,Laptop,Gaming,MSI GF63, Rp 13.937.169 ,1, Rp 13.937.169 ,Cash,J&T, Rp 1.348.318 ,,
3/4/2024,ELX600068,EP37963,CE5778,Safina Sudiati,Home Office,Bekasi,Jawa Barat,Indonesia,Peralatan Dapur,Microwave,Samsung Microwave Grill, Rp 20.372.851 ,3, Rp 61.118.553 ,Cash,JNE, Rp 9.182.550 ,,
11/20/2025,ELX600069,EP71691,CE1445,Zelda Hidayat,Consumer,Makassar,Sulawesi Selatan,Indonesia,Televisi,Smart TV,"Smart TV LG 55""", Rp 21.061.697 ,2, Rp 42.123.394 ,QRIS,Ninja Xpress, Rp 6.927.486 ,,
4/1/2023,ELX600070,EP60667,CE5125,Talia Nurdiyanti,Home Office,Depok,Jawa Barat,Indonesia,Smartphone,iOS Phone,iPhone 13 Pro, Rp 1.406.682 ,2, Rp 2.813.364 ,Cash,POS Indonesia, Rp 473.439 ,,
7/20/2025,ELX600071,EP84685,CE8867,Dirja Anggriawan,Consumer,Bandung,Jawa Barat,Indonesia,Peralatan Rumah,AC,LG Air Conditioner, Rp 18.136.096 ,2, Rp 36.272.192 ,Debit,Grab, Rp 3.989.230 ,,
3/4/2024,ELX600072,EP33301,CE9188,"Ilyas Wasita, M.Farm",Consumer,Kediri,Jawa Timur,Indonesia,Printer,Laser Printer,HP LaserJet Pro, Rp 6.505.302 ,1, Rp 6.505.302 ,Debit,JNE, Rp 355.156 ,,
9/11/2025,ELX600073,EP60770,CE7256,Wani Waluyo,Corporate,Semarang,Jawa Tengah,Indonesia,Motor Listrik,EV Scooter,Motor Listrik Gesits, Rp 6.068.270 ,2, Rp 12.136.540 ,Debit,SiCepat, Rp 1.103.831 ,,
1/15/2024,ELX600074,EP92850,CE6685,"Ir. Maras Nasyidah, M.Kom.",Consumer,Bogor,Jawa Barat,Indonesia,Peralatan Rumah,Freezer,Polytron Chest Freezer, Rp 2.574.920 ,3, Rp 7.724.760 ,Debit,SiCepat, Rp 647.242 ,,
6/18/2025,ELX600075,EP60360,CE4881,Tgk. Elon Dongoran,Consumer,Cirebon,Jawa Barat,Indonesia,Smartphone,Android Phone,Realme Narzo 50, Rp 9.785.743 ,3, Rp 29.357.229 ,QRIS,JNE, Rp 2.790.593 ,,
12/24/2023,ELX600076,EP48804,CE5769,Lembah Nababan,Home Office,Semarang,Jawa Tengah,Indonesia,Tablet,Android Tablet,Samsung Galaxy Tab S8, Rp 15.673.638 ,2, Rp 31.347.276 ,Cash,AnterAja, Rp 4.882.469 ,,
6/18/2025,ELX600077,EP19123,CE7459,"Vivi Laksita, S.Farm",Corporate,Bekasi,Jawa Barat,Indonesia,Smart Home,Air Purifier,Xiaomi Mi Air Purifier, Rp 9.426.879 ,3, Rp 28.280.637 ,QRIS,J&T, Rp 5.436.908 ,,
4/1/2023,ELX600078,EP81644,CE3018,Indah Saefullah,Corporate,Makassar,Sulawesi Selatan,Indonesia,Peralatan Dapur,Air Fryer,Xiaomi Air Fryer, Rp 24.033.906 ,2, Rp 48.067.812 ,Cash,J&T, Rp 7.804.629 ,,
9/22/2023,ELX600079,EP57829,CE2548,Kalim Saefullah,Home Office,Surabaya,Jawa Timur,Indonesia,Kamera,Mirrorless,Canon EOS M50, Rp 11.953.928 ,1, Rp 11.953.928 ,Debit,JNE, Rp 1.591.816 ,,
3/9/2023,ELX600080,EP42751,CE9548,Jumari Habibi,Consumer,Jakarta Selatan,DKI Jakarta,Indonesia,Smartphone,iOS Phone,iPhone 13 Pro, Rp 9.151.890 ,2, Rp 18.303.780 ,QRIS,AnterAja, Rp 1.257.444 ,,
7/20/2025,ELX600081,EP76257,CE6493,Jayadi Andriani,Corporate,Karangasem,Bali,Indonesia,Smartphone,Android Phone,Vivo V27, Rp 14.805.669 ,2, Rp 29.611.338 ,QRIS,SiCepat, Rp 1.813.308 ,,
1/15/2024,ELX600082,EP38748,CE8494,Martana Simbolon,Home Office,Jakarta Pusat,DKI Jakarta,Indonesia,Motor Listrik,EV Scooter,Motor Listrik Smoot Tempur, Rp 10.746.382 ,3, Rp 32.239.146 ,QRIS,J&T, Rp 2.835.026 ,,
11/11/2024,ELX600083,EP40772,CE7419,Dalima Saptono,Consumer,Bandung,Jawa Barat,Indonesia,Motor Listrik,EV Scooter,Motor Listrik Gesits, Rp 18.459.575 ,3, Rp 55.378.725 ,Cash,J&T, Rp 9.712.428 ,,
1/19/2025,ELX600084,EP39890,CE7907,Julia Haryanto,Consumer,Makassar,Sulawesi Selatan,Indonesia,Speaker,Soundbar,Samsung Soundbar HW-T450, Rp 11.729.661 ,2, Rp 23.459.322 ,Debit,SiCepat, Rp 2.724.884 ,,
7/20/2025,ELX600085,EP53183,CE2993,Eka Winarno,Corporate,Depok,Jawa Barat,Indonesia,Peralatan Rumah,AC,LG Air Conditioner, Rp 2.759.440 ,2, Rp 5.518.880 ,QRIS,Ninja Xpress, Rp 547.829 ,,
4/9/2024,ELX600086,EP75439,CE2091,Drs. Ira Anggraini,Corporate,Sragen,Jawa Tengah,Indonesia,Speaker,Soundbar,Samsung Soundbar HW-T450, Rp 10.233.917 ,3, Rp 30.701.751 ,Debit,SiCepat, Rp 4.834.597 ,,
12/23/2024,ELX600087,EP93265,CE2456,"Dartono Prayoga, S.Farm",Home Office,Jakarta Pusat,DKI Jakarta,Indonesia,Laptop,Gaming,MSI GF63, Rp 14.334.843 ,1, Rp 14.334.843 ,Cash,SiCepat, Rp 2.598.559 ,,
6/10/2023,ELX600088,EP16314,CE8099,"Nurul Mustofa, S.Gz",Corporate,Medan,Sumatera Utara,Indonesia,Aksesori,Keyboard Gaming,Razer BlackWidow, Rp 412.134 ,2, Rp 824.268 ,QRIS,Grab, Rp 117.340 ,,
8/22/2024,ELX600089,EP16929,CE8936,Kayla Megantara,Corporate,Bandung,Jawa Barat,Indonesia,Peralatan Rumah,Freezer,Polytron Chest Freezer, Rp 18.433.019 ,3, Rp 55.299.057 ,Debit,AnterAja, Rp 7.017.794 ,,
5/2/2023,ELX600090,EP53328,CE5268,Siti Lailasari,Consumer,Dompu,NTB,Indonesia,Laptop,Ultrabook,ASUS ZenBook, Rp 18.575.981 ,2, Rp 37.151.962 ,Cash,AnterAja, Rp 2.372.897 ,,
7/27/2023,ELX600091,EP87635,CE6310,"Uli Mustofa, S.T.",Consumer,Bekasi,Jawa Barat,Indonesia,Aksesori,Webcam,Logitech Brio Webcam, Rp 24.355.353 ,1, Rp 24.355.353 ,Debit,Gojek, Rp 2.696.522 ,,
7/27/2023,ELX600092,EP20623,CE4625,Novi Maryati,Home Office,Jakarta Selatan,DKI Jakarta,Indonesia,Laptop,Apple,MacBook Pro M2, Rp 19.704.397 ,3, Rp 59.113.191 ,QRIS,AnterAja, Rp 3.385.688 ,,
7/20/2025,ELX600093,EP14400,CE6649,Septi Nuraini,Corporate,Bogor,Jawa Barat,Indonesia,Smartphone,Android Phone,Oppo A96, Rp 14.047.794 ,2, Rp 28.095.588 ,QRIS,Ninja Xpress, Rp 2.327.877 ,,
12/3/2025,ELX600094,EP76071,CE7721,Viman Utami,Consumer,Semarang,Jawa Tengah,Indonesia,Peralatan Rumah,Vacuum Cleaner,Dyson V11 Vacuum, Rp 4.152.808 ,1, Rp 4.152.808 ,Debit,Gojek, Rp 556.711 ,,
1/21/2023,ELX600095,EP88622,CE4457,Wage Prasetyo,Consumer,Sumbawa Barat,NTB,Indonesia,Speaker,Soundbar,Samsung Soundbar HW-T450, Rp 13.200.614 ,1, Rp 13.200.614 ,QRIS,Ninja Xpress, Rp 1.555.768 ,,
7/6/2024,ELX600096,EP97289,CE7396,Laksana Zulaika,Consumer,Bogor,Jawa Barat,Indonesia,Peralatan Rumah,Vacuum Cleaner,Dyson V11 Vacuum, Rp 18.034.447 ,2, Rp 36.068.894 ,Cash,JNE, Rp 2.116.238 ,,
8/26/2025,ELX600097,EP77195,CE3772,"Cinthia Sihotang, S.H.",Consumer,Yogyakarta,Yogyakarta,Indonesia,Speaker,Bluetooth Speaker,JBL Flip 6, Rp 13.951.509 ,2, Rp 27.903.018 ,Debit,JNE, Rp 3.251.426 ,,
3/4/2024,ELX600098,EP38824,CE5122,Lidya Thamrin,Corporate,Malang,Jawa Timur,Indonesia,Motor Listrik,EV Scooter,Motor Listrik Alva One, Rp 10.275.353 ,3, Rp 30.826.059 ,Debit,Ninja Xpress, Rp 2.824.090 ,,
11/20/2025,ELX600099,EP13382,CE7974,Mutia Damanik,Home Office,Balikpapan,Kalimantan Timur,Indonesia,Smartphone,Android Phone,Oppo A96, Rp 22.521.275 ,1, Rp 22.521.275 ,Debit,Ninja Xpress, Rp 2.149.817 ,,
